City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pittsburgh,40.4406,-79.9959,75.29,39,1,1.01,US,2021-09-26 19:38:20
1,Austin,30.2672,-97.7431,92.03,34,1,3.0,US,2021-09-26 19:35:20
2,New York,40.7143,-74.006,75.36,39,20,5.75,US,2021-09-26 19:35:00
3,Los Angeles,34.0522,-118.2437,85.12,75,90,0.0,US,2021-09-26 19:33:28
4,Seattle,47.6062,-122.3321,67.1,73,75,3.0,US,2021-09-26 19:30:56
