City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Marawi,7.9986,124.2928,66.65,90,89,2.48,PH,2021-09-27 12:30:00
68,Yellowknife,62.456,-114.3525,34.32,100,1,5.75,CA,2021-09-27 12:22:39
69,Dikson,73.5069,80.5464,36.95,82,64,23.22,RU,2021-09-27 12:22:24
70,Port Alfred,-33.5906,26.891,71.1,69,21,27.94,ZA,2021-09-27 12:23:22
71,Methoni,36.8197,21.7049,82.26,58,0,14.27,GR,2021-09-27 12:30:01
72,Juneau,58.3019,-134.4197,47.84,95,90,3.44,US,2021-09-27 12:30:03
73,Treinta Y Tres,-33.2333,-54.3833,65.17,74,0,6.58,UY,2021-09-27 12:30:04
74,Katsuura,35.1333,140.3,70.2,73,68,15.99,JP,2021-09-27 12:19:02
75,Meulaboh,4.1363,96.1285,76.62,86,97,3.22,ID,2021-09-27 12:30:06
76,Port Hardy,50.6996,-127.4199,51.98,93,90,11.5,CA,2021-09-27 12:30:06
77,Caconda,-13.7333,15.0667,88.61,14,98,4.16,AO,2021-09-27 12:30:08
78,Amarpatan,24.3167,80.9833,81.91,74,80,7.25,IN,2021-09-27 12:30:09
79,Narsaq,60.9167,-46.05,28.62,33,0,5.86,GL,2021-09-27 12:23:17
80,Port Blair,11.6667,92.75,80.94,80,100,7.81,IN,2021-09-27 12:30:10
81,Jiuquan,39.7432,98.5174,68.34,14,0,6.04,CN,2021-09-27 12:30:10
82,Lujan,-34.5703,-59.105,60.51,92,100,5.01,AR,2021-09-27 12:30:10
83,Atuona,-9.8,-139.0333,77.41,73,20,20.33,PF,2021-09-27 12:22:29
84,Jalu,29.0331,21.5482,88.61,20,0,7.14,LY,2021-09-27 12:30:12
85,New Norfolk,-42.7826,147.0587,49.71,92,59,2.48,AU,2021-09-27 12:21:51
86,Gerash,27.6652,54.1371,98.74,12,6,8.48,IR,2021-09-27 12:30:13
87,Inyonga,-6.7167,32.0667,89.51,22,100,3.09,TZ,2021-09-27 12:30:15
88,Ushumun,52.7833,126.5333,45.55,71,7,6.89,RU,2021-09-27 12:30:16
89,Faya,18.3851,42.4509,82.51,15,63,15.12,SA,2021-09-27 12:30:18
90,Karratha,-20.7377,116.8463,76.96,29,50,13.96,AU,2021-09-27 12:30:19
91,Severo-Kurilsk,50.6789,156.125,47.07,90,15,9.1,RU,2021-09-27 12:30:19
92,Hobart,-42.8794,147.3294,50.05,80,0,8.05,AU,2021-09-27 12:23:32
93,Qaqortoq,60.7167,-46.0333,28.9,33,0,4.92,GL,2021-09-27 12:30:21
94,Clyde River,70.4692,-68.5914,25.07,89,98,9.71,CA,2021-09-27 12:24:23
95,Rosarito,32.3333,-117.0333,65.35,77,90,6.49,MX,2021-09-27 12:30:23
96,Bekobod,40.2208,69.2697,74.89,40,0,7.49,UZ,2021-09-27 12:30:24
97,Hasaki,35.7333,140.8333,66.6,69,76,14.7,JP,2021-09-27 12:30:24
98,Quatre Cocos,-20.2078,57.7625,77.11,70,6,18.12,MU,2021-09-27 12:22:22
99,Hurghada,27.2574,33.8129,89.64,33,0,19.57,EG,2021-09-27 12:30:25
100,Natal,-5.795,-35.2094,77.65,100,90,12.66,BR,2021-09-27 12:30:26
101,Puerto Ayora,-0.7393,-90.3518,68.49,92,99,8.48,EC,2021-09-27 12:21:57
102,Almaznyy,48.0448,40.045,59.14,50,51,11.61,RU,2021-09-27 12:30:28
103,Waddan,29.1614,16.139,85.06,26,100,1.81,LY,2021-09-27 12:30:29
104,Mahenge,-8.6833,36.7167,85.12,26,41,6.2,TZ,2021-09-27 12:30:30
105,La Asuncion,11.0333,-63.8628,84.2,69,8,7.45,VE,2021-09-27 12:30:32
106,Oltedal,58.831,6.0466,65.46,77,100,24.11,NO,2021-09-27 12:30:33
107,Gimli,50.6336,-96.9907,53.62,76,7,11.5,CA,2021-09-27 12:30:34
108,Querecotillo,-4.8378,-80.6456,68.02,71,99,2.66,PE,2021-09-27 12:30:35
109,Bethel,41.3712,-73.414,62.82,83,90,1.01,US,2021-09-27 12:23:26
110,Nurota,40.5614,65.6886,69.89,36,0,9.35,UZ,2021-09-27 12:30:37
111,Katav-Ivanovsk,54.7531,58.1956,35.28,81,100,13.67,RU,2021-09-27 12:30:38
112,Moron,-34.6534,-58.6198,60.49,94,90,8.01,AR,2021-09-27 12:29:12
113,Cherdyn,60.403,56.4787,41.85,62,17,8.19,RU,2021-09-27 12:30:39
114,Erenhot,43.6475,111.9767,68.16,34,0,17.74,CN,2021-09-27 12:30:41
115,Sinnamary,5.3833,-52.95,82.26,74,29,9.35,GF,2021-09-27 12:23:10
116,Aklavik,68.2191,-135.0107,27.32,89,32,5.93,CA,2021-09-27 12:23:43
117,Shingu,33.7333,135.9833,70.7,83,61,10.02,JP,2021-09-27 12:27:08
118,Dalbandin,28.8947,64.4101,96.71,8,0,3.74,PK,2021-09-27 12:30:41
119,Bilma,18.6853,12.9164,100.15,11,2,4.41,NE,2021-09-27 12:30:43
120,Ribeira Grande,38.5167,-28.7,70.2,78,75,14.97,PT,2021-09-27 12:22:50
121,Saint Anthony,45.0205,-93.218,59.25,91,1,1.99,US,2021-09-27 12:30:44
122,Dunedin,-45.8742,170.5036,42.8,73,6,5.39,NZ,2021-09-27 12:22:46
123,Labuhan,-6.8844,112.2051,81.18,73,22,5.82,ID,2021-09-27 12:30:46
124,Georgetown,5.4112,100.3354,84.88,78,20,1.01,MY,2021-09-27 12:18:29
125,Pevek,69.7008,170.3133,27.43,65,100,13.56,RU,2021-09-27 12:23:38
126,Zhezkazgan,47.8043,67.7144,64.45,35,78,22.15,KZ,2021-09-27 12:30:47
127,Kashary,49.04,41.0056,58.33,58,76,11.54,RU,2021-09-27 12:30:47
128,Cherskiy,68.75,161.3,18.73,92,99,6.49,RU,2021-09-27 12:22:15
129,Konakovo,56.7,36.7667,50.31,84,100,8.88,RU,2021-09-27 12:30:49
130,Tomatlan,19.9333,-105.25,74.07,92,99,2.95,MX,2021-09-27 12:30:51
131,Hithadhoo,-0.6,73.0833,83.14,74,100,17.36,MV,2021-09-27 12:21:36
132,Sambava,-14.2667,50.1667,77.14,69,0,17.2,MG,2021-09-27 12:30:52
133,Tazovskiy,67.4667,78.7,35.67,76,21,6.04,RU,2021-09-27 12:30:53
134,Guozhen,34.3659,107.359,64.18,98,100,1.95,CN,2021-09-27 12:30:55
135,Maroantsetra,-15.4333,49.7333,73.99,82,22,12.88,MG,2021-09-27 12:30:55
136,Maloy,61.9353,5.1136,71.44,67,59,12.17,NO,2021-09-27 12:30:57
137,Kousseri,12.0769,15.0306,96.76,44,75,10.36,CM,2021-09-27 12:30:59
138,Komsomolskiy,40.4272,71.7189,76.42,27,0,9.22,UZ,2021-09-27 12:22:41
139,Alta Floresta,-9.8756,-56.0861,84.97,58,13,3.02,BR,2021-09-27 12:31:00
140,Kudahuvadhoo,2.6708,72.8944,82.47,79,100,18.86,MV,2021-09-27 12:31:02
141,Pedernales,18.0384,-71.744,83.62,68,57,0.36,DO,2021-09-27 12:31:02
142,Kieta,-6.2167,155.6333,79.2,81,100,1.01,PG,2021-09-27 12:31:03
143,Kuryk,43.2,51.65,69.12,57,7,13.53,KZ,2021-09-27 12:31:05
144,Mount Isa,-20.7333,139.5,80.37,12,8,6.91,AU,2021-09-27 12:28:31
145,Severo-Yeniseyskiy,60.3725,93.0408,32.31,69,99,6.76,RU,2021-09-27 12:31:06
146,Flin Flon,54.7682,-101.865,53.44,87,75,6.91,CA,2021-09-27 12:31:08
147,Cassilandia,-19.1133,-51.7342,88.27,36,95,5.99,BR,2021-09-27 12:31:08
148,Sobolevo,54.4299,31.8996,55.45,63,42,10.6,RU,2021-09-27 12:31:10
149,Ponta Do Sol,32.6667,-17.1,79.72,64,10,4.29,PT,2021-09-27 12:24:20
150,Kaliganj,23.4095,89.1402,80.06,88,100,8.88,BD,2021-09-27 12:31:11
151,Villa Guerrero,18.8667,-99.65,58.5,91,98,2.77,MX,2021-09-27 12:31:12
152,Hyeres,43.1167,6.1167,81.25,47,0,19.57,FR,2021-09-27 12:31:13
153,Fortuna,40.5982,-124.1573,62.37,65,90,4.0,US,2021-09-27 12:23:55
154,Thompson,55.7435,-97.8558,37.56,93,75,0.0,CA,2021-09-27 12:22:42
