City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
571,Antalaha,MG,78.35,-14.9003,50.2788,
573,Marsh Harbour,BS,80.37,26.5412,-77.0636,
575,Ilebo,CD,84.02,-4.3167,20.5833,
585,Barbastro,ES,86.86,42.0356,0.1269,
588,Angoche,MZ,81.52,-16.2325,39.9086,
589,Pjanici,BA,76.15,44.9836,15.8228,
590,Afua,BR,88.18,-0.1567,-50.3867,
591,Puerto Penasco,MX,81.27,31.3167,-113.5333,
592,Marang,MY,84.11,5.2056,103.2059,
595,Samarai,PG,79.0,-10.6167,150.6667,
598,Myanaung,MM,75.2,18.2833,95.3167,
600,Mogadishu,SO,84.07,2.0371,45.3438,
604,Bathsheba,BB,79.41,13.2167,-59.5167,
609,Catuday,PH,82.29,16.2923,119.8062,
610,Salamiyah,SY,89.73,35.0113,37.0532,
614,Jutai,BR,80.04,-5.1833,-68.9,
616,Tevaitoa,PF,78.96,-16.7833,-151.5,
619,Vizianagaram,IN,78.31,18.1167,83.4167,
625,Huicheng,CN,82.35,23.0385,116.2899,
631,Galesong,ID,80.62,-5.3166,119.3661,
635,Karema,TZ,87.12,-6.8205,30.4389,
636,Cocobeach,GA,80.53,1.0002,9.5823,
639,Fria,GN,87.22,10.4167,-13.5833,
641,Santo Domingo,DO,85.03,18.5001,-69.9886,
648,Kribi,CM,79.9,2.95,9.9167,
650,Galle,LK,79.74,6.0367,80.217,
651,Fare,PF,78.84,-16.7,-151.0167,
653,Mayumba,GA,79.7,-3.432,10.6554,
656,Pusad,IN,76.78,19.9,77.5833,
659,Mahabad,IR,81.91,36.7631,45.7222,
660,Olbia,IT,87.85,40.9214,9.4856,
661,Mwense,ZM,89.62,-10.3845,28.698,
662,Cubuk,TR,76.91,40.2386,33.0322,
670,Xiamen,CN,84.25,24.4798,118.0819,
671,Norsup,VU,76.46,-16.0667,167.3833,
676,Pathein,MM,75.24,16.7833,94.7333,
687,San Andres,CO,82.42,12.5847,-81.7006,
689,Waingapu,ID,78.85,-9.6567,120.2641,
690,Grand Gaube,MU,77.4,-20.0064,57.6608,
693,Lingao,CN,80.92,19.9103,109.6859,
696,Tiarei,PF,75.22,-17.5333,-149.3333,
698,Gualdo Tadino,IT,79.14,43.2317,12.781,
699,Mitsamiouli,KM,84.49,-11.3847,43.2844,
700,Amapa,BR,85.44,1.0,-52.0,
703,Kaniama,CD,89.1,-7.5667,24.1833,
704,Lucapa,AO,87.24,-8.4192,20.7447,
709,Ban Nahin,LA,75.63,18.2418,104.2122,
